,GameId,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,X3FGM,X3FGA,FTA,FTM,Fouls,Winner
31,16,Virginia Cavaliers,0,83,17,10,5,6,38,7,31,55,33,8,19,14,9,16,Virginia Cavaliers
32,16,Boston College Eagles,1,56,6,8,4,0,18,4,14,57,22,7,25,9,5,12,
33,17,Notre Dame Fighting Irish,1,69,11,10,7,5,40,11,29,61,21,7,26,23,20,15,Notre Dame Fighting Irish
34,17,Boston College Eagles,0,66,9,12,4,3,41,11,30,65,26,6,21,10,8,19,
35,18,Virginia Cavaliers,0,63,11,8,4,2,46,10,36,57,23,10,23,12,7,13,Virginia Cavaliers
36,18,Clemson Tigers,1,43,5,7,7,2,36,8,28,54,14,3,19,17,12,14,
37,19,Pittsburgh Panthers,0,80,13,16,8,4,30,7,23,55,25,6,13,28,24,21,North Carolina State Wolfpack
38,19,North Carolina State Wolfpack,1,86,16,13,9,6,38,15,23,71,30,7,20,25,19,19,
39,20,North Carolina Tar Heels,1,62,13,14,9,3,26,11,15,58,20,3,22,27,19,21,Louisville Cardinals
40,20,Louisville Cardinals,0,83,17,14,8,0,36,7,29,54,28,11,26,26,16,20,
41,21,Duke Blue Devils,0,80,14,14,7,3,27,9,18,65,30,11,24,15,9,15,Duke Blue Devils
42,21,Florida State Seminoles,1,78,16,17,8,7,36,16,20,62,25,8,25,24,20,14,
43,22,Miami (FL) Hurricanes,1,76,16,15,5,5,36,6,30,48,23,11,25,23,19,12,Miami (FL) Hurricanes
44,22,Wake Forest Demon Deacons,0,65,11,12,7,0,33,14,19,73,25,7,33,9,8,20,
45,23,Georgia Tech Yellow Jackets,0,73,16,21,15,4,28,6,22,42,25,6,12,27,17,17,Georgia Tech Yellow Jackets
46,23,Syracuse Orange,1,59,13,17,10,4,25,10,15,57,18,7,33,21,16,19,
47,24,Syracuse Orange,0,95,13,14,3,5,44,11,33,80,35,11,25,19,14,20,Syracuse Orange
