WTeamID,WScore,LTeamID,LScore,WLoc
Notre Dame Fighting Irish,79,Boston College Eagles,73,A
Virginia Cavaliers,56,Miami (FL) Hurricanes,46,H
Syracuse Orange,65,Pittsburgh Panthers,56,A
Clemson Tigers,64,Wake Forest Demon Deacons,37,H
Louisville Cardinals,72,Virginia Tech Hokies,64,A
Duke Blue Devils,80,Boston College Eagles,55,H
Wake Forest Demon Deacons,78,Pittsburgh Panthers,76,H
North Carolina Tar Heels,113,North Carolina State Wolfpack,96,H
Georgia Tech Yellow Jackets,92,Wake Forest Demon Deacons,79,H
Florida State Seminoles,80,Syracuse Orange,62,A
Clemson Tigers,65,Georgia Tech Yellow Jackets,42,A
Miami (FL) Hurricanes,62,Notre Dame Fighting Irish,47,H
North Carolina Tar Heels,88,Miami (FL) Hurricanes,85,H
Clemson Tigers,59,Virginia Tech Hokies,51,H
North Carolina State Wolfpack,79,Pittsburgh Panthers,76,A
Syracuse Orange,67,Boston College Eagles,56,H
Florida State Seminoles,80,Louisville Cardinals,75,H
Duke Blue Devils,81,Virginia Cavaliers,71,A
Notre Dame Fighting Irish,69,Georgia Tech Yellow Jackets,59,H
Virginia Cavaliers,65,Florida State Seminoles,52,H
Virginia Cavaliers,69,North Carolina Tar Heels,61,A
Boston College Eagles,66,Pittsburgh Panthers,57,H
Duke Blue Devils,71,Louisville Cardinals,69,A
Miami (FL) Hurricanes,65,Clemson Tigers,64,H
Florida State Seminoles,88,Wake Forest Demon Deacons,66,H
North Carolina State Wolfpack,73,Syracuse Orange,58,H
Virginia Tech Hokies,76,Georgia Tech Yellow Jackets,68,H
Duke Blue Devils,94,North Carolina State Wolfpack,78,H
North Carolina Tar Heels,95,Wake Forest Demon Deacons,57,A
Louisville Cardinals,56,Clemson Tigers,55,H
Louisville Cardinals,90,Miami (FL) Hurricanes,73,H
Virginia Cavaliers,60,Notre Dame Fighting Irish,54,H
Florida State Seminoles,69,Georgia Tech Yellow Jackets,47,A
Virginia Tech Hokies,70,Pittsburgh Panthers,64,A
Boston College Eagles,64,Miami (FL) Hurricanes,57,H
Virginia Cavaliers,64,Virginia Tech Hokies,58,A
Wake Forest Demon Deacons,75,Notre Dame Fighting Irish,68,A
Florida State Seminoles,77,Clemson Tigers,64,A
North Carolina State Wolfpack,89,Boston College Eagles,80,H
Syracuse Orange,69,Louisville Cardinals,49,H
North Carolina Tar Heels,88,Duke Blue Devils,72,A
