"word","freq"
"beksesebek","beksesebek",7
"los","los",7
"exactly","exactly",7
"many","many",7
"needs","needs",7
"bad","bad",7
"story","story",7
"genchuckyeager","genchuckyeager",6
"nasa","nasa",6
"humanity","humanity",6
"penis","penis",6
"technoking","technoking",6
"general","general",6
"paying","paying",6
"couple","couple",6
"team","team",6
"can’t","can’t",6
"bittorrent","bittorrent",6
"getting","getting",6
"picture","picture",6
"meme","meme",6
"definitely","definitely",6
"b…","b…",6
"johnnacrider","johnnacrider",6
"read","read",6
"di…","di…",6
"part","part",6
"gives","gives",6
"kristennetten","kristennetten",6
"fastest","fastest",6
"roadster","roadster",6
"happen","happen",6
"market","market",6
"forever","forever",6
"funny","funny",6
"via","via",6
"gary","gary",6
"spacepadreisle…","spacepadreisle…",6
"eye","eye",6
"meats","meats",6
"w…","w…",6
"sell","sell",6
"mattwallace","mattwallace",6
"two","two",6
"human","human",6
"luissantosoffic","luissantosoffic",6
"community","community",6
"asking","asking",6
"mit","mit",6
"boner","boner",6
"bangladesh","bangladesh",6
"enhypen","enhypen",6
"goldenglobes","goldenglobes",6
"pmmodi","pmmodi",6
"westbengal","westbengal",6
"whatshappeninginmyanmar","whatshappeninginmyanmar",6
"tweets","tweets",6
"feel","feel",6
"might","might",6
"gets","gets",6
"doesnt","doesnt",6
"gas","gas",6
"animation","animation",6
"nba","nba",6
"nfl","nfl",6
"hes","hes",6
"capacity","capacity",6
"d…","d…",6
"cheaper","cheaper",6
"ship","ship",6
"invented","invented",6
"valaafshar","valaafshar",6
"actor","actor",6
"artificial","artificial",6
"intelligence","intelligence",6
"shatners","shatners",6
"william","william",6
"l…","l…",6
"hahaha","hahaha",6
"high","high",6
"less","less",6
"jamesmelville","jamesmelville",6
"kill","kill",6
"marksabalburo","marksabalburo",6
"electric","electric",5
"pump","pump",5
"believe","believe",5
"fogdo","fogdo",5
"worth","worth",5
"mean","mean",5
"parts","parts",5
"probably","probably",5
"site","site",5
"listen","listen",5
"given","given",5
"glad","glad",5
"robotaxis","robotaxis",5
"imagine","imagine",5
"place","place",5
"videos","videos",5
"fact","fact",5
"participate","participate",5
"bitcoinasset","bitcoinasset",5
"bitcoinassetx","bitcoinassetx",5
"bta","bta",5
"btachain","btachain",5
"inspired","inspired",5
"series","series",5
"power","power",5
"wonder","wonder",5
"omg","omg",5
"miles","miles",5
"per","per",5
"pls","pls",5
