date,price,btc_pc,abs_btc_pc
11/23/17,8071.669821,-0.021568023,0.021568023
11/24/17,8232.422333,0.019915645,0.019915645
11/25/17,8760.165442,0.064105446,0.064105446
11/26/17,9319.903315,0.063895811,0.063895811
11/27/17,9730.728579,0.044080421,0.044080421
11/28/17,9932.19418,0.020704061,0.020704061
11/29/17,9800.027552,-0.013306891,0.013306891
11/30/17,9996.714972,0.020070088,0.020070088
12/1/17,10808.95833,0.081251027,0.081251027
12/2/17,10934.85999,0.011647899,0.011647899
12/3/17,11213.94266,0.02552229,0.02552229
12/4/17,11562.12857,0.031049375,0.031049375
12/5/17,11736.75407,0.015103231,0.015103231
12/6/17,13992.13234,0.192163716,0.192163716
12/7/17,17032.29338,0.217276464,0.217276464
12/8/17,16298.48734,-0.04308322,0.04308322
12/9/17,15050.02195,-0.076600077,0.076600077
12/10/17,15474.99954,0.028237672,0.028237672
12/11/17,16873.49778,0.090371456,0.090371456
12/12/17,17433.93074,0.033213798,0.033213798
12/13/17,16515.15257,-0.052700575,0.052700575
12/14/17,16602.8928,0.005312711,0.005312711
12/15/17,17702.00217,0.066199871,0.066199871
12/16/17,19640.51388,0.109508048,0.109508048
12/17/17,19250.46765,-0.019859268,0.019859268
12/18/17,18982.02502,-0.013944733,0.013944733
12/19/17,17653.32609,-0.069997744,0.069997744
12/20/17,16453.62726,-0.067958798,0.067958798
12/21/17,15633.83365,-0.049824491,0.049824491
12/22/17,14305.71834,-0.084951352,0.084951352
12/23/17,14910.8581,0.042300551,0.042300551
12/24/17,14026.34687,-0.059319942,0.059319942
12/25/17,14080.94226,0.003892346,0.003892346
12/26/17,15727.14548,0.116910018,0.116910018
12/27/17,15389.00057,-0.021500717,0.021500717
12/28/17,14289.45221,-0.071450278,0.071450278
12/29/17,14571.74608,0.019755402,0.019755402
12/30/17,12948.71588,-0.111381998,0.111381998
12/31/17,13921.48064,0.075124419,0.075124419
1/1/18,13464.65361,-0.032814543,0.032814543
1/2/18,14754.3222,0.095781788,0.095781788
1/3/18,15010.28616,0.017348405,0.017348405
1/4/18,15070.3008,0.003998234,0.003998234
1/5/18,16997.22741,0.127862518,0.127862518
1/6/18,17103.58928,0.006257601,0.006257601
1/7/18,16231.695,-0.05097727,0.05097727
1/8/18,14937.41509,-0.079737816,0.079737816
1/9/18,14378.58622,-0.037411351,0.037411351
1/10/18,14669.08827,0.020203798,0.020203798
1/11/18,13186.75494,-0.101051497,0.101051497
1/12/18,13789.44366,0.045704097,0.045704097
1/13/18,14231.22506,0.032037652,0.032037652
1/14/18,13681.06546,-0.038658626,0.038658626
1/15/18,13591.6962,-0.006532332,0.006532332
1/16/18,11431.04011,-0.158968834,0.158968834
1/17/18,11159.60859,-0.023745128,0.023745128
1/18/18,11246.03973,0.007744997,0.007744997
1/19/18,11440.25556,0.017269709,0.017269709
1/20/18,12768.40459,0.116094349,0.116094349
1/21/18,11422.39426,-0.105417268,0.105417268
1/22/18,10737.35058,-0.059973738,0.059973738
1/23/18,10849.39188,0.010434725,0.010434725
1/24/18,11225.89617,0.034702802,0.034702802
1/25/18,11130.46495,-0.00850099,0.00850099
1/26/18,11035.55461,-0.008527078,0.008527078
1/27/18,11320.97019,0.025863274,0.025863274
1/28/18,11615.95871,0.026056824,0.026056824
1/29/18,11132.55431,-0.04161554,0.04161554
1/30/18,9959.546715,-0.105367337,0.105367337
1/31/18,10050.0958,0.009091687,0.009091687
2/1/18,9039.865075,-0.100519512,0.100519512
2/2/18,8786.07738,-0.028074279,0.028074279
2/3/18,9132.100322,0.039383098,0.039383098
2/4/18,8250.526896,-0.09653567,0.09653567
2/5/18,6849.542559,-0.169805438,0.169805438
2/6/18,7738.64396,0.129804493,0.129804493
2/7/18,7624.59539,-0.014737539,0.014737539
2/8/18,8218.580852,0.077903867,0.077903867
2/9/18,8660.453468,0.053765075,0.053765075
2/10/18,8530.292805,-0.015029313,0.015029313
2/11/18,8096.728481,-0.050826429,0.050826429
2/12/18,8907.670179,0.100156711,0.100156711
2/13/18,8523.966932,-0.043075601,0.043075601
2/14/18,9467.301033,0.110668437,0.110668437
2/15/18,10106.73308,0.067541113,0.067541113
2/16/18,10189.31648,0.008171127,0.008171127
2/17/18,11085.59841,0.08796291,0.08796291
2/18/18,10452.09198,-0.057146797,0.057146797
2/19/18,11139.35573,0.065753703,0.065753703
2/20/18,11245.93232,0.009567572,0.009567572
2/21/18,10458.86509,-0.069986837,0.069986837
2/22/18,9878.158943,-0.055522864,0.055522864
2/23/18,10159.06561,0.028437148,0.028437148
2/24/18,9686.60178,-0.046506623,0.046506623
2/25/18,9603.227477,-0.008607178,0.008607178
2/26/18,10312.36571,0.07384374,0.07384374
2/27/18,10654.10729,0.033139009,0.033139009
2/28/18,10307.02497,-0.032577326,0.032577326
3/1/18,10923.63086,0.059823848,0.059823848
3/2/18,11014.05847,0.008278164,0.008278164
3/3/18,11425.68057,0.037372427,0.037372427
3/4/18,11462.5832,0.003229797,0.003229797
3/5/18,11540.66232,0.006811652,0.006811652
3/6/18,10677.03523,-0.074833408,0.074833408
3/7/18,9903.085049,-0.072487368,0.072487368
3/8/18,9330.475453,-0.057821335,0.057821335
3/9/18,9278.139184,-0.005609175,0.005609175
3/10/18,8786.560423,-0.052982473,0.052982473
3/11/18,9513.5354,0.082737151,0.082737151
3/12/18,9147.890181,-0.03843421,0.03843421
3/13/18,9160.542933,0.001383133,0.001383133
3/14/18,8222.127239,-0.102441056,0.102441056
3/15/18,8268.589122,0.005650835,0.005650835
3/16/18,8376.904498,0.01309962,0.01309962
3/17/18,7881.661921,-0.059119998,0.059119998
3/18/18,8189.016719,0.038996192,0.038996192
3/19/18,8537.015623,0.042495811,0.042495811
3/20/18,8895.547179,0.041997294,0.041997294
3/21/18,8879.594257,-0.00179336,0.00179336
3/22/18,8710.664935,-0.019024441,0.019024441
3/23/18,8771.746323,0.007012253,0.007012253
3/24/18,8610.988516,-0.018326773,0.018326773
3/25/18,8440.610923,-0.019786067,0.019786067
3/26/18,8171.184354,-0.031920269,0.031920269
3/27/18,7837.265319,-0.040865439,0.040865439
3/28/18,7933.64273,0.012297326,0.012297326
3/29/18,7108.570813,-0.103996606,0.103996606
3/30/18,6832.149066,-0.038885699,0.038885699
3/31/18,6922.281297,0.013192369,0.013192369
4/1/18,6804.524879,-0.017011215,0.017011215
4/2/18,7033.25961,0.033615092,0.033615092
4/3/18,7420.800515,0.05510118,0.05510118
4/4/18,6780.543601,-0.086278686,0.086278686
4/5/18,6798.422617,0.002636811,0.002636811
4/6/18,6610.49235,-0.027643216,0.027643216
4/7/18,6886.469472,0.041748346,0.041748346
4/8/18,7009.996104,0.017937585,0.017937585
4/9/18,6736.892824,-0.03895912,0.03895912
4/10/18,6816.718615,0.011849052,0.011849052
4/11/18,6944.785857,0.018787227,0.018787227
4/12/18,7904.330275,0.138167603,0.138167603
4/13/18,7919.064695,0.001864095,0.001864095
4/14/18,8006.417943,0.011030753,0.011030753
4/15/18,8342.271101,0.041947992,0.041947992
4/16/18,8046.982134,-0.035396712,0.035396712
4/17/18,7887.737958,-0.019789304,0.019789304
4/18/18,8162.834862,0.034876527,0.034876527
4/19/18,8272.967316,0.013491937,0.013491937
