Date,Price,Pct_Change,Abs_Pct_Change
11/8/11,3.056567111,0.012860351,0.012860351
11/9/11,2.919567224,-0.044821488,0.044821488
11/10/11,2.856702085,-0.021532348,0.021532348
11/11/11,3.067861733,0.07391728,0.07391728
11/12/11,3.025522996,-0.013800732,0.013800732
11/13/11,2.986373303,-0.01293981,0.01293981
11/14/11,2.224224464,-0.255208831,0.255208831
11/15/11,2.322384116,0.04413208,0.04413208
11/16/11,2.546780931,0.096623471,0.096623471
11/17/11,2.279095836,-0.105107232,0.105107232
11/18/11,2.105066003,-0.076359155,0.076359155
11/19/11,2.203456722,0.046739968,0.046739968
11/20/11,2.20198951,-0.000665868,0.000665868
11/21/11,2.279879165,0.035372401,0.035372401
11/22/11,2.322458596,0.018676179,0.018676179
11/23/11,2.330323568,0.003386485,0.003386485
11/24/11,2.438879,0.046583845,0.046583845
11/25/11,2.496161003,0.023487021,0.023487021
11/26/11,2.471799969,-0.0097594,0.0097594
11/27/11,2.477564951,0.002332301,0.002332301
11/28/11,2.541240252,0.02570076,0.02570076
11/29/11,2.757698483,0.085178184,0.085178184
11/30/11,2.966041546,0.075549617,0.075549617
12/1/11,3.08258945,0.03929409,0.03929409
12/2/11,3.100402333,0.005778545,0.005778545
12/3/11,2.803856185,-0.095647634,0.095647634
12/4/11,2.819693976,0.005648575,0.005648575
12/5/11,2.874796227,0.019541926,0.019541926
12/6/11,3.025360451,0.052373877,0.052373877
12/7/11,2.985502421,-0.013174639,0.013174639
12/8/11,2.991880483,0.002136345,0.002136345
12/9/11,2.955791952,-0.012062157,0.012062157
12/10/11,3.068975267,0.038292044,0.038292044
12/11/11,3.249268847,0.05874716,0.05874716
12/12/11,3.187335357,-0.019060747,0.019060747
12/13/11,3.241088409,0.016864574,0.016864574
12/14/11,3.155086504,-0.026534884,0.026534884
12/15/11,3.203138541,0.015230022,0.015230022
12/16/11,3.209137777,0.001872925,0.001872925
12/17/11,3.192541704,-0.005171505,0.005171505
12/18/11,3.194010809,0.000460168,0.000460168
12/19/11,3.525773919,0.103870378,0.103870378
12/20/11,3.952550827,0.121044888,0.121044888
12/21/11,3.888993251,-0.016080141,0.016080141
12/22/11,3.903060421,0.003617175,0.003617175
12/23/11,3.937965076,0.008942894,0.008942894
12/24/11,3.939419119,0.000369237,0.000369237
12/25/11,4.233866878,0.074743953,0.074743953
12/26/11,3.999121964,-0.055444567,0.055444567
12/27/11,4.095518546,0.024104437,0.024104437
12/28/11,4.207295876,0.027292595,0.027292595
12/29/11,4.173352227,-0.008067807,0.008067807
12/30/11,4.31063509,0.032895106,0.032895106
12/31/11,4.714306331,0.093645422,0.093645422
1/1/12,5.294842777,0.123143556,0.123143556
1/2/12,5.204877892,-0.01699104,0.01699104
1/3/12,4.870508829,-0.064241481,0.064241481
1/4/12,5.585706267,0.146842448,0.146842448
1/5/12,6.874000877,0.23064131,0.23064131
1/6/12,6.68331664,-0.02773992,0.02773992
1/7/12,6.796227981,0.016894507,0.016894507
1/8/12,7.096650566,0.044204313,0.044204313
1/9/12,6.288538342,-0.113872342,0.113872342
1/10/12,6.528474555,0.038154528,0.038154528
1/11/12,6.889127721,0.055243099,0.055243099
1/12/12,6.773564196,-0.016774769,0.016774769
1/13/12,6.45436889,-0.047123685,0.047123685
1/14/12,6.761727143,0.047620187,0.047620187
1/15/12,7.046922558,0.042177895,0.042177895
1/16/12,6.715607667,-0.047015543,0.047015543
1/17/12,5.59962195,-0.16617792,0.16617792
1/18/12,5.900231288,0.053683863,0.053683863
1/19/12,6.315706342,0.07041674,0.07041674
1/20/12,6.501491988,0.029416448,0.029416448
1/21/12,6.180568326,-0.049361541,0.049361541
1/22/12,6.302967227,0.019803826,0.019803826
1/23/12,6.374876077,0.01140873,0.01140873
1/24/12,6.274476476,-0.015749263,0.015749263
1/25/12,5.810465072,-0.07395221,0.07395221
1/26/12,5.367226954,-0.076282727,0.076282727
1/27/12,5.303137197,-0.011940944,0.011940944
1/28/12,5.659796775,0.06725445,0.06725445
1/29/12,5.391429457,-0.047416423,0.047416423
1/30/12,5.503481939,0.020783446,0.020783446
1/31/12,5.538220296,0.006312069,0.006312069
2/1/12,6.075232652,0.096964788,0.096964788
2/2/12,6.099572913,0.004006474,0.004006474
